Q100009,R122648
Q106579,R112956
Q106580,R133295
Q106582,R123089
Q106594,R105550
Q106627,R128335
Q106629,R114556
Q106639,R128935
Q106641,R101577
Q106643,R136586
Q106645,R102535
Q106649,R104910
Q106653,R123138
Q106656,R133569
Q106657,R129717
Q106658,R122567
Q106666,R117114
Q106666,R130068
Q106666,R131202
Q106671,R137582
Q106672,R121448
Q106689,R105724
Q106695,R118665
Q106702,R112883
Q106711,R130540
Q106712,R102078
Q106712,R108590
Q106712,R123834
Q106720,R138061
Q106727,R105321
Q106731,R120815
Q106733,R134314
Q106735,R125298
Q106740,R126781
Q106745,R102078
Q106745,R113089
Q106751,R109003
Q106752,R114844
Q106753,R126625
Q106753,R127677
Q106753,R138661
Q106754,R135363
Q106764,R137194
Q106765,R108371
Q106769,R110185
Q106769,R125636
Q106779,R102103
Q106781,R138801
Q106788,R119322
Q106789,R128705
Q106800,R108546
Q106801,R110794
Q106820,R134956
Q106826,R139835
Q106829,R106518
Q106830,R134892
Q106851,R118129
Q106852,R121585
Q106859,R139943
Q106862,R118843
Q106868,R116562
Q106885,R130068
Q106886,R122682
Q106897,R103531
Q106897,R123603
Q106903,R127430
Q106908,R118717
Q106909,R104192
Q106909,R110217
Q106909,R135691
Q106910,R126938
Q106912,R139188
Q106917,R104072
Q106917,R120057
Q106918,R106119
Q106918,R118688
Q106918,R129736
Q106919,R107744
Q106932,R120257
Q106935,R103162
Q106937,R103330
Q106941,R116348
Q106941,R139687
Q106972,R126153
Q106973,R133478
Q106989,R106613
Q106989,R126349
Q106995,R139003
Q107020,R134676
Q107021,R107262
Q107022,R108808
Q107023,R114956
Q107029,R118499
Q107030,R127402
Q107031,R123667
Q107032,R122193
Q107033,R106780
Q107038,R118896
Q107039,R132355
Q107045,R109610
Q107048,R109679
Q107052,R106898
Q107053,R117685
Q107054,R118068
Q107055,R122107
Q107056,R117271
Q107059,R122122
Q107074,R128145
Q107078,R134922
Q107093,R137464
Q107094,R124275
Q107099,R101231
Q107103,R101685
Q107104,R110058
Q107104,R117115
Q107104,R135121
Q107114,R104683
Q107114,R106705
Q107120,R110555
Q107120,R114547
Q107121,R125114
Q107127,R111362
Q107127,R117603
Q107127,R137751
Q107129,R100317
Q107130,R124192
Q107132,R123509
Q107139,R136690
Q107141,R110217
Q107144,R122001
Q107151,R138933
Q107152,R136556
Q107162,R100410
Q107164,R108426
Q107178,R120893
Q107179,R118952
Q107197,R106532
Q107197,R119826
Q107197,R128735
Q107202,R121221
Q107211,R137965
Q107220,R108119
Q107221,R128746
Q107238,R100280
Q107250,R136075
Q107252,R124337
Q107254,R115317
Q107260,R137019
Q107261,R133457
Q107262,R105540
Q107263,R107838
Q107272,R125378
Q107276,R136789
Q107278,R100453
Q107290,R117513
Q107290,R132562
Q107294,R120267
Q107298,R116199
Q107299,R117946
Q107299,R131234
Q107314,R140310
Q107320,R116858
Q107327,R110320
Q107329,R119245
Q107347,R107206
Q107348,R120200
Q107349,R127995
Q107351,R117605
Q107352,R117260
Q107353,R104744
Q107354,R100559
Q107354,R112509
Q107354,R126618
Q107356,R132567
Q107372,R139628
Q107383,R124858
Q107388,R121388
Q107388,R121573
Q107408,R122900
Q107409,R112313
Q107415,R138558
Q107416,R109504
Q107416,R128483
Q107424,R125934
Q107426,R105247
Q107428,R134279
Q107434,R105519
Q107435,R112281
Q107435,R121655
Q107468,R105506
Q107470,R109237
Q107470,R130682
Q107472,R113018
Q107476,R118963
Q107477,R128102
Q107511,R117077
Q107512,R101253
Q107518,R105866
Q107531,R118420
Q107531,R119543
Q107531,R134515
Q107532,R117946
Q107533,R124087
Q107534,R105139
Q107534,R137307
Q107536,R126264
Q107539,R111830
Q107549,R103888
Q107558,R112841
Q107567,R136490
Q107568,R132762
Q107571,R127962
Q107571,R135178
Q107576,R138345
Q107577,R114826
Q107612,R132976
Q107617,R118387
Q107617,R119026
Q107617,R135617
Q107618,R108722
Q107626,R139032
Q107639,R120080
Q107654,R124492
Q107655,R114011
Q107655,R116147
Q107655,R131249
Q107660,R105703
Q107660,R106831
Q107660,R112147
Q107663,R127244
Q107673,R112732
Q107677,R116395
Q107680,R101190
Q107681,R105719
Q107681,R107880
Q107681,R123585
Q107682,R114431
Q107695,R130413
Q107700,R121954
Q107722,R115069
Q107734,R107367
Q107734,R118578
Q107736,R107181
Q107743,R113164
Q107744,R117201
Q107744,R121952
Q107748,R105525
Q107765,R114104
Q107766,R108828
Q107768,R127136
Q107769,R105058
Q107777,R119152
Q107781,R115898
Q107782,R130004
Q107783,R100430
Q107784,R105558
Q107785,R117552
Q107786,R115272
Q107787,R117032
Q107804,R100695
Q107804,R128335
Q107813,R138786
Q107814,R108993
Q107819,R118407
Q107827,R125043
Q107829,R130291
Q107830,R116854
Q107831,R110184
Q107834,R129597
Q107850,R108344
Q107853,R105192
Q107866,R135178
Q107871,R103137
Q107871,R135192
Q107871,R136360
Q107875,R117086
Q107875,R120439
Q107878,R129233
Q107879,R125656
Q107880,R109583
Q107893,R115917
Q107893,R130081
Q107897,R119346
Q107903,R102202
Q107904,R102998
Q107904,R136127
Q107915,R103639
Q107918,R114777
Q107941,R135094
Q107952,R126558
Q107953,R117604
Q107958,R111736
Q107958,R130037
Q107964,R111017
Q107965,R137609
Q107966,R139922
Q107970,R122060
Q107972,R134749
Q107974,R133551
Q107983,R132284
Q107989,R140082
Q108004,R126680
Q108005,R118688
Q108016,R106299
Q108022,R133368
Q108040,R135358
Q108049,R116792
Q108049,R125220
Q108057,R107264
Q108057,R124001
Q108057,R133594
Q108059,R125700
Q108060,R139408
Q108063,R107264
Q108070,R137903
Q108080,R119677
Q108086,R128502
Q108087,R132596
Q108092,R107761
Q108093,R105364
Q108093,R119745
Q108107,R116209
Q108111,R117168
Q108116,R102778
Q108127,R136611
Q108128,R105255
Q108128,R133551
Q108129,R136381
Q108135,R137130
Q108136,R136152
Q108137,R106273
Q108139,R100168
Q108140,R112941
Q108151,R133601
Q108155,R136588
Q108158,R111603
Q108159,R124159
Q108159,R130092
Q108160,R110108
Q108160,R131945
Q108166,R118129
Q108166,R122218
Q108167,R112215
Q108172,R110772
Q108173,R108312
Q108174,R124727
Q108186,R101295
Q108186,R119720
Q108196,R115152
Q108207,R138762
Q108211,R117447
Q108221,R126064
Q108222,R134313
Q108225,R117645
Q108228,R137956
Q108256,R120934
Q108257,R121027
Q108262,R114779
Q108267,R118907
Q108267,R123285
Q108267,R136153
Q108268,R136207
Q108271,R139651
Q108273,R116921
Q108277,R131912
Q108288,R110566
Q108289,R104589
Q108289,R113890
Q108289,R132031
Q108290,R110807
Q108290,R119900
Q108297,R104072
Q108298,R125361
Q108307,R100766
Q108307,R132627
Q108327,R109123
Q108329,R108734
Q108329,R112124
Q108330,R124911
Q108332,R110025
Q108332,R114965
Q108334,R119443
Q108335,R115383
Q108341,R126246
Q108341,R134036
Q108341,R136163
Q108356,R137665
Q108367,R109891
Q108367,R125656
Q108371,R111290
Q108372,R138107
Q108373,R134103
Q108380,R112214
Q108385,R130081
Q108397,R102927
Q108402,R115693
Q108403,R125803
Q108404,R119461
